臺灣 Taiwan,#genre#
AXN,https://api.hualong.eu.org/api/Smartv.php?id=axn_twn
CINEMAX,https://api.hualong.eu.org/api/Smartv.php?id=cinemax_twn
EYE戲劇,https://api.hualong.eu.org/api/Smartv.php?id=eyetvxiju_twn
EYE旅遊,https://api.hualong.eu.org/api/Smartv.php?id=eyetvtravel_twn
HBO,https://api.hualong.eu.org/api/Smartv.php?id=hbohd_twn
HBO Family,https://api.hualong.eu.org/api/Smartv.php?id=fyi_twn
好萊塢電影台,https://api.hualong.eu.org/api/Smartv.php?id=hollywoodmovies_twn
MTV Live,https://api.hualong.eu.org/api/Smartv.php?id=mtvhd_twn
TLC旅遊生活,https://api.hualong.eu.org/api/Smartv.php?id=tlc_twn
東森新聞,https://api.hualong.eu.org/api/Smartv.php?id=ettvnews
TVBS HD,https://api.hualong.eu.org/api/Smartv.php?id=tvbs
TVBS新聞台,https://api.hualong.eu.org/api/Smartv.php?id=tvbs_n
TVBS歡樂台,https://api.hualong.eu.org/api/Smartv.php?id=tvbshuanle_twn
三立台灣台,https://api.hualong.eu.org/api/Smartv.php?id=sanlitaiwan
三立戲劇台,https://api.hualong.eu.org/api/Smartv.php?id=sanlixiju_twn
三立綜合台,https://api.hualong.eu.org/api/Smartv.php?id=sanlizhonghe
中天亞洲台,https://api.hualong.eu.org/api/Smartv.php?id=ctiasia_twn
中天娱樂,https://api.hualong.eu.org/api/Smartv.php?id=ctient
中天新聞HD,https://api.hualong.eu.org/api/Smartv.php?id=ctinews
中天綜合,https://api.hualong.eu.org/api/Smartv.php?id=ctizhonghe
亞洲旅遊台,https://api.hualong.eu.org/api/Smartv.php?id=asiatravel_twn
亞洲美食,https://api.hualong.eu.org/api/Smartv.php?id=afc_twn
八大戲劇,https://api.hualong.eu.org/api/Smartv.php?id=badadrama
八大第一,https://api.hualong.eu.org/api/Smartv.php?id=badafirst
八大綜合,https://api.hualong.eu.org/api/Smartv.php?id=badazhonghe
公視,https://api.hualong.eu.org/api/Smartv.php?id=ctv_taiwan
民視,https://api.hualong.eu.org/api/Smartv.php?id=ftvhd_taiwan
